Gen_nm,Gen_no.,Rep,DFF,DTM,PH,BPP,NPPP,PL,NCPP,NSPPO,TSW,SYPP
A,1,1,36.56,64.22,73.11,8.89,23.71,6.82,3.95,10.67,3.93,9.59
A,1,2,37.36,65.64,74.73,9.09,24.24,6.97,4.04,10.91,4.01,10.01
A,1,3,39.08,65.14,72.16,9.21,21.02,7.12,4.12,9.82,4.19,11.23
B,2,1,51.91,69.88,69.88,6.99,26.95,7.49,3.99,10.38,4.31,13.38
B,2,2,49.85,69.24,65.23,6.79,28.45,7.21,4.12,11.01,4.05,15.14
B,2,3,52.66,70.89,70.89,7.09,27.34,7.60,4.05,10.53,4.38,12.58
C,3,1,45.02,67.03,64.03,7.34,21.01,7.20,4.67,9.40,3.70,7.28
C,3,2,47.35,70.49,67.33,7.72,22.09,7.58,4.91,9.89,3.89,7.65
C,3,3,42.64,63.48,60.64,6.95,19.90,6.82,4.42,8.91,3.50,6.89
D,4,1,44.55,66.33,59.40,7.59,17.49,7.29,5.28,9.31,3.81,4.85
D,4,2,45.13,67.20,60.18,7.69,17.72,7.38,5.35,9.43,3.75,5.40
D,4,3,41.55,67.48,55.42,7.45,20.12,7.41,5.02,8.08,3.99,3.82
E,5,1,52.28,70.37,58.11,8.65,30.75,7.20,4.83,10.25,4.20,10.76
E,5,2,52.00,70.00,57.80,8.60,28.60,7.16,4.80,10.20,4.18,11.69
E,5,3,47.13,69.63,54.49,8.35,24.46,6.78,4.55,9.56,3.95,13.25
